ResponseTime,ResponseSize,DownloadSpeed
528070,169,100.86845435774136
473545,169,125.46178451017205
415467,169,111.95837691574806
481681,169,131.97625933878453
409176,169,135.77024245181036
447556,169,134.83840803678387
460981,169,130.805647186319
495006,169,131.44634895916113
486782,169,133.33615930650075
440187,169,135.29874972306257
2052,7364,134.7436119870158
658678,7364,137.9011706415546
983135,7364,133.44639901834537
641399,7364,134.68667801095035
859739,7364,125.7717542024851
942340,7364,139.01359796731285
981708,7364,139.1328314415021
908804,7364,137.6118564888328
989655,7364,132.69030622115105
67489,7364,121.74898916117475
84049,19456,128.0675992074398
604917,19456,128.99528760934774
129691,19456,120.96792664527901
99039,19456,121.7546441652505
594101,19446,128.3205461563822
382754,19456,119.55095439431973
530821,19456,128.63652726784466
888136,19456,130.51779474701706
839101,19456,115.7545514582939
800946,19456,127.82824592912233
828701,132326,122.96273822412262
144952,132326,131.2873518646817
181766,132326,118.25257852925638
205553,132326,121.62861836840732
122292,132326,119.90527149485314
156596,132326,114.08321230260015
177567,132326,121.7424335368992
97847,132326,126.85194400675731
194037,132326,120.9208587047232
193388,132326,124.62151930369207
25918,529580,107.21034627700284
161436,529580,123.92430580730223
101093,529580,123.16573814730891
266820,529580,123.62961817645763
193292,529580,126.09746231740328
228713,529580,128.2778059122646
314096,529580,137.67538657235048
111043,529580,117.15057461860324
167943,529580,124.14627064477862
122731,529580,123.2378013083345
